CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/λ) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-π₀),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W]
50,10000,75,4.45,4.61,110.01,9.09,168.52,172.71,168.55,0.22,50.66,51.59,50.59,5,109.99,2100851,1.62,None
50,10000,75,4.45,4.46,110.15,9.08,162.92,162.34,162.95,0.22,49.14,49.63,49.07,5,110.12,2082424,1.6,None
50,10000,75,4.45,4.51,109.96,9.09,163.9,163.39,163.93,0.22,49.63,49.22,49.57,6,109.93,2119137,1.63,None
50,10000,75,4.45,4.35,110.36,9.06,158.45,154.94,158.48,0.23,48.02,47.09,47.95,5,110.33,2103215,1.61,None
60,10000,75,5.34,5.1,109.67,9.12,179.34,178.76,179.37,0.2,55.95,56.14,55.84,7,109.64,2168052,1.71,None
60,10000,75,5.34,5.36,109.43,9.14,183.63,181.29,183.65,0.19,58.69,59.14,58.59,9,109.41,2194757,1.75,None
60,10000,75,5.34,5.19,109.56,9.13,178.19,177.34,178.19,0.19,56.8,58.04,56.7,7,109.54,2167890,1.71,None
60,10000,75,5.34,5.36,109.28,9.15,185.7,185.7,185.74,0.19,58.54,58.32,58.43,7,109.26,2173847,1.73,None
60,10000,75,5.34,5.3,109.37,9.14,185.3,186.66,185.33,0.19,57.98,58.58,57.88,6,109.35,2183484,1.74,None
60,10000,75,5.34,5.47,109.38,9.14,182.51,175.13,182.53,0.18,59.85,58.51,59.74,7,109.36,2210107,1.77,None
60,10000,75,5.34,5.42,109.4,9.14,183.02,176.99,183.06,0.18,59.33,58.16,59.23,6,109.38,2201470,1.76,None
